,,,Wall time,Step,Value
1589090593.20406,8333,494.674438476563,,,
1589090660.10376,8335,482.429443359375,,,
1589090760.41583,8338,472.500396728516,,,
1589090827.24549,8340,490.330993652344,,,
1589090999.58177,8346,466.037902832031,,,
1589091668.32976,8366,489.658599853516,,,
1589091768.67664,8369,514.434753417969,,,
1589091935.75953,8374,503.793701171875,,,
1589092236.71705,8383,494.660827636719,,,
1589094492.2844,8453,505.901336669922,,,
1589095160.96247,8473,496.430053710938,,,
1589095194.39352,8474,514.289306640625,,,
1589095235.54215,8476,63.4194488525391,,,
1589095680.44253,8490,480.936462402344,,,
1589095814.2564,8494,491.820648193359,,,
1589096115.47334,8503,486.816955566406,,,
1589096148.89916,8504,487.502746582031,,,
1589096285.76979,8509,479.835144042969,,,
1589096422.67947,8514,495.494384765625,,,
1589096924.29151,8529,515.430847167969,,,
1589097961.51057,8560,493.496154785156,,,
1589098332.37444,8572,512.128173828125,,,
1589098566.53114,8579,480.209869384766,,,
1589098733.6264,8584,491.658569335938,,,
1589099174.69075,8598,493.242706298828,,,
1589099475.73318,8607,467.728363037109,,,
1589100330.67569,8633,478.199493408203,,,
1589100553.28231,8640,500.516052246094,,,
1589100586.75985,8641,508.849456787109,,,
1589100862.59846,8650,508.436370849609,,,
1589102068.73032,8688,484.913269042969,,,
1589102336.26605,8696,513.15380859375,,,
1589102369.74842,8697,514.644958496094,,,
1589102503.52057,8701,489.977600097656,,,
1589103525.12456,8733,478.808013916016,,,
1589105074.79144,8780,444.409423828125,,,
1589105208.51822,8784,482.851531982422,,,
1589105978.19719,8807,512.069396972656,,,
1589106580.07582,8825,504.621765136719,,,
1589106680.42508,8828,506.2763671875,,,
1589107350.05605,8849,517.053161621094,,,
1589107717.89096,8860,510.097808837891,,,
1589108520.12922,8884,505.113586425781,,,
1589108754.08216,8891,506.955230712891,,,
1589109322.53737,8908,488.447906494141,,,
1589109389.5193,8910,479.93115234375,,,
1589109465.69006,8913,113.892074584961,,,
1589110167.85028,8934,501.376220703125,,,
1589110234.74587,8936,506.603271484375,,,
1589110401.81735,8941,512.913024902344,,,
1589110769.53554,8952,499.637756347656,,,
1589111170.4517,8964,493.402496337891,,,
1589111707.80912,8981,510.490570068359,,,
1589112309.66526,8999,513.747985839844,,,
1589112510.70581,9005,512.680786132813,,,
1589112847.41326,9015,500.022308349609,,,
1589113483.01397,9034,502.079986572266,,,
1589114386.02242,9061,511.207366943359,,,
1589114653.62626,9069,532.726379394531,,,
1589115355.64205,9090,516.810668945313,,,
1589116058.30003,9111,508.843048095703,,,
1589116660.4424,9129,503.940856933594,,,
1589117638.0552,9161,502.318145751953,,,
1589117872.2761,9168,508.042419433594,,,
1589119611.47108,9220,514.874755859375,,,
1589119678.36843,9222,513.097412109375,,,
1589120012.95955,9232,518.811401367188,,,
1589120247.12856,9239,512.833190917969,,,
1589121150.04711,9266,513.967224121094,,,
1589121819.68901,9287,520.914611816406,,,
1589122154.20171,9297,506.019409179688,,,
1589122689.52376,9313,507.812255859375,,,
1589122990.07643,9322,493.441558837891,,,
1589124033.42628,9354,519.234741210938,,,
1589124568.6109,9370,474.851318359375,,,
1589124735.87043,9375,514.511535644531,,,
1589126149.81796,9418,527.649658203125,,,
1589126250.20561,9421,520.818786621094,,,
1589126903.13829,9441,475.561004638672,,,
1589127137.04103,9448,512.076904296875,,,
1589128006.58899,9474,505.549499511719,,,
1589128240.74786,9481,501.673614501953,,,
1589130347.17259,9544,502.872283935547,,,
1589130648.16143,9553,509.829956054687,,,
1589130866.28665,9560,242.502365112305,,,
1589131200.84773,9570,503.789825439453,,,
1589131300.99506,9573,498.596984863281,,,
1589132038.30329,9595,501.799102783203,,,
1589132406.21674,9606,500.006134033203,,,
1589132774.01188,9617,500.300720214844,,,
1589133175.37627,9629,503.800933837891,,,
1589133208.77757,9630,494.090667724609,,,
1589133309.11807,9633,474.161346435547,,,
1589134101.14574,9657,505.799407958984,,,
1589134277.58112,9663,513.336791992188,,,
1589135014.56267,9686,493.207458496094,,,
1589135303.71149,9696,531.995666503906,,,
1589135543.29012,9704,44.9359893798828,,,
1589137431.56158,9765,501.2294921875,,,
1589137717.31927,9774,478.291778564453,,,
1589138018.09073,9783,464.888336181641,,,
1589139115.72716,9818,554.310668945313,,,
1589140019.59871,9846,519.570495605469,,,
1589140119.90504,9849,513.260559082031,,,
1589141396.81805,9889,313.528167724609,,,
1589142175.49409,9913,542.719848632813,,,
1589144295.00884,9978,515.088256835938,,,
1589145671.39272,10020,506.757537841797,,,
1589146853.32103,10056,487.497039794922,,,
1589147020.76494,10061,492.936340332031,,,
1589147054.26503,10062,494.999633789063,,,
1589147121.25255,10064,472.662536621094,,,
1589147589.72018,10078,511.450561523438,,,
1589147991.14187,10090,507.775207519531,,,
1589148760.68886,10113,510.021911621094,,,
1589148961.28565,10119,496.688354492188,,,
1589149457.38665,10134,508.261657714844,,,
1589149658.24441,10140,532.990661621094,,,
1589149993.02768,10150,538.592834472656,,,
1589150798.5501,10174,529.487854003906,,,
1589151367.32983,10191,548.10888671875,,,
1589152103.29098,10213,521.544860839844,,,
1589153331.79943,10251,535.850219726563,,,
1589153699.74785,10262,512.818176269531,,,
1589154368.46099,10282,510.684173583984,,,
1589154602.57102,10289,530.250366210938,,,
1589154769.93161,10294,549.822937011719,,,
1589156033.29564,10336,16.071756362915,,,
1589157212.53302,10372,513.964050292969,,,
1589158148.77886,10400,534.941162109375,,,
1589158215.69033,10402,549.688720703125,,,
1589158249.07334,10403,542.500854492188,,,
1589158316.08652,10405,548.212646484375,,,
1589158822.3394,10420,526.252014160156,,,
1589159024.11122,10426,540.744262695312,,,
1589159192.2663,10431,506.050201416016,,,
1589160106.03501,10460,552.541564941406,,,
1589160552.06172,10474,116.109481811523,,,
1589160921.76992,10485,510.154388427734,,,
1589161263.8986,10495,511.816833496094,,,
1589161399.06898,10499,509.028350830078,,,
